customer_name,order_id,purchase_order_number,sheet_size,total_shipped,requested_date,status,delivery_dockets,
Berlo's,5030009-1,2032600-1R,35.00 x 59.04 Sheet,9927,2025-08-12,Shipped,DR-296265,RF1382
BCR,5030045-1,2032635-1R,32.12 x 66.10 Sheet,3144,2025-08-12,Shipped,DR-296348,53582
BCR,5029982-1,2032580-1R,50.11 x 67.10 Sheet,5398,2025-08-13,Shipped,DR-296261,53603
Mitchell's,5028247-1,2031780-1R,46.04 x 48.04 Sheet,800,2025-08-14,Shipped,DR-296267,53580
Mitchell's,5028247-2,2031781-1L,17.12 x 52.03 Sheet,8166,2025-08-14,Shipped,DR-296267,53580
Moyy|WB,5029960-1,2032581-1L,18.08 x 46.02 Sheet,10510,2025-08-14,Shipped,"DR-296267,DR-296348",53580
Tigercat,5030019-1,2032621-1R,26.00 x 28.03 Sheet,2470,2025-08-14,Shipped,DR-296267,53580
Country,5030026-2,2032626-1L,21.14 x 66.08 Sheet,5662,2025-08-14,Shipped,DR-296267,53580
Country,5030026-1,2032627-1L,20.00 x 54.02 Sheet,5563,2025-08-14,Shipped,DR-296261,53603
Vytal,5029979-1,2032578-1L,29.12 x 38.02 Sheet,2361,2025-08-15,Shipped,DR-296348,53582
Vytal,5029978-1,2032577-1None,1.00 x 1.00 Sheet,855,2025-08-15,Shipped,DR-296348,53582
Moyer's,5030005-1,2032605-1L,19.06 x 66.11 Sheet,0,2025-08-15,Shipped,DR-296319,53587
Sons,5029924-1,2032644-1R,30.03 x 34.00 Sheet,1919,2025-08-15,Shipped,DR-296348,53582
Scheps,5030044-1,2032640-1N,31.00 x 36.08 Sheet,1420,2025-08-18,Shipped,DR-296348,53582
Nexal,5030046-1,2032639-1R,43.06 x 35.06 Sheet,1285,2025-08-21,Shipped,DR-296348,53582
